               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 112,            0.035868,            0.054147,          0.00028942,              0.9368,             0.90731,             0.94678,             0.61698,             0.03656,            0.054804,           0.0013581,           0.0045055,           0.0045055,           0.0045055
                 113,            0.035915,            0.054195,          0.00030537,             0.92846,              0.9083,             0.94711,             0.61761,            0.036514,            0.054783,           0.0013401,            0.004456,            0.004456,            0.004456
                 114,            0.035692,            0.053798,          0.00027662,              0.9343,              0.9043,             0.94694,              0.6188,            0.036498,            0.054748,           0.0013779,           0.0044065,           0.0044065,           0.0044065
                 115,             0.03608,            0.054883,          0.00025772,             0.93238,             0.90566,             0.94512,             0.61636,            0.036496,            0.054882,           0.0014638,            0.004357,            0.004357,            0.004357
                 116,            0.035752,            0.053723,          0.00027314,             0.93183,             0.90634,             0.94452,             0.61627,            0.036495,            0.054922,           0.0014779,           0.0043075,           0.0043075,           0.0043075
                 117,            0.035674,             0.05335,          0.00027736,             0.93308,             0.90634,             0.94558,             0.61694,            0.036531,            0.054893,           0.0014536,            0.004258,            0.004258,            0.004258
                 118,            0.035572,            0.053105,          0.00030941,             0.92949,             0.90826,             0.94495,             0.61637,            0.036533,            0.054896,           0.0015411,           0.0042085,           0.0042085,           0.0042085
                 119,            0.035438,             0.05338,          0.00028964,              0.9361,             0.90407,             0.94466,              0.6166,             0.03657,            0.055006,           0.0015704,            0.004159,            0.004159,            0.004159
                 120,            0.035636,            0.053145,          0.00030133,             0.93835,             0.90554,             0.94534,             0.61753,            0.036584,            0.055017,           0.0016399,           0.0041095,           0.0041095,           0.0041095
                 121,            0.035453,            0.053486,           0.0002914,             0.93239,             0.90719,             0.94462,             0.61785,             0.03661,            0.055134,           0.0016825,             0.00406,             0.00406,             0.00406
                 122,            0.035375,             0.05302,          0.00031812,             0.93679,             0.90157,             0.94323,             0.61731,            0.036587,            0.055194,           0.0016743,           0.0040105,           0.0040105,           0.0040105
                 123,            0.035573,            0.053149,          0.00029077,             0.93306,             0.90369,             0.94366,             0.61687,             0.03658,            0.055197,           0.0016785,            0.003961,            0.003961,            0.003961
                 124,            0.035383,             0.05281,          0.00025575,             0.93026,             0.90629,             0.94349,             0.61737,            0.036585,            0.055196,           0.0016331,           0.0039115,           0.0039115,           0.0039115
                 125,             0.03538,            0.053243,          0.00024745,             0.93332,             0.90675,              0.9441,             0.61769,            0.036563,            0.055149,           0.0016319,            0.003862,            0.003862,            0.003862
                 126,            0.035253,            0.052839,          0.00024636,             0.93633,             0.90384,             0.94484,             0.61843,             0.03659,            0.055207,            0.001588,           0.0038125,           0.0038125,           0.0038125
                 127,            0.035198,            0.052727,          0.00026144,             0.93428,             0.90488,             0.94421,             0.61856,            0.036595,            0.055193,            0.001645,            0.003763,            0.003763,            0.003763
