               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 100,            0.022197,           0.0074095,          0.00093242,             0.86479,             0.65591,             0.70757,             0.52192,            0.024299,           0.0097796,           0.0050372,           0.0050995,           0.0050995,           0.0050995
                 101,            0.021338,           0.0075037,          0.00080792,             0.88079,             0.64711,             0.70513,             0.52123,            0.024389,            0.010063,           0.0052501,             0.00505,             0.00505,             0.00505
                 102,            0.020863,            0.007411,          0.00069898,             0.86194,             0.65859,              0.6995,             0.51768,            0.024292,           0.0095326,           0.0056226,           0.0050005,           0.0050005,           0.0050005
                 103,            0.021111,           0.0073185,          0.00078206,             0.87654,             0.65571,              0.7085,             0.52579,             0.02437,           0.0098881,           0.0048873,            0.004951,            0.004951,            0.004951
                 104,            0.021616,           0.0074505,          0.00082867,              0.8603,             0.64867,              0.7059,             0.52437,            0.024423,            0.009843,           0.0047664,           0.0049015,           0.0049015,           0.0049015
                 105,            0.020734,           0.0073397,          0.00071998,             0.88032,             0.64611,             0.69888,             0.52001,            0.024366,           0.0097576,           0.0047227,            0.004852,            0.004852,            0.004852
                 106,            0.020989,            0.007269,          0.00062831,             0.92312,             0.64417,             0.69649,             0.51903,            0.024366,           0.0098295,           0.0053191,           0.0048025,           0.0048025,           0.0048025
                 107,            0.021049,           0.0071398,           0.0008026,             0.89359,             0.63869,             0.69802,             0.52175,            0.024472,            0.010157,           0.0051555,            0.004753,            0.004753,            0.004753
                 108,            0.020699,           0.0073635,          0.00077611,             0.88522,             0.63698,             0.69562,             0.52078,            0.024623,            0.010066,           0.0052538,           0.0047035,           0.0047035,           0.0047035
                 109,            0.020696,           0.0069959,          0.00077257,              0.8957,             0.63859,             0.69803,             0.51974,            0.024627,            0.009876,           0.0053746,            0.004654,            0.004654,            0.004654
                 110,            0.020531,           0.0070159,          0.00075258,             0.88508,             0.64979,             0.69988,             0.52046,              0.0246,           0.0099175,           0.0054677,           0.0046045,           0.0046045,           0.0046045
                 111,            0.020025,           0.0070573,          0.00071923,             0.88059,              0.6465,             0.70785,             0.52453,             0.02466,           0.0099488,           0.0055769,            0.004555,            0.004555,            0.004555
                 112,            0.020482,           0.0073041,          0.00070274,             0.90657,              0.6343,             0.69794,             0.52036,            0.024628,            0.009968,           0.0057601,           0.0045055,           0.0045055,           0.0045055
                 113,             0.02098,           0.0074405,          0.00072292,             0.89135,             0.64544,             0.70197,             0.52256,            0.024624,            0.010048,           0.0053523,            0.004456,            0.004456,            0.004456
                 114,            0.020443,           0.0067576,          0.00065772,             0.89729,             0.64466,             0.70646,             0.52589,            0.024605,            0.010045,           0.0051342,           0.0044065,           0.0044065,           0.0044065
                 115,            0.020622,           0.0068998,          0.00079274,             0.89677,             0.65407,             0.70979,             0.52596,            0.024736,            0.010195,           0.0052701,            0.004357,            0.004357,            0.004357
                 116,            0.020598,           0.0070335,          0.00073167,               0.873,             0.65229,             0.70878,             0.52522,            0.024712,            0.010239,           0.0050506,           0.0043075,           0.0043075,           0.0043075
                 117,            0.020265,           0.0070195,          0.00069816,             0.86455,             0.66166,             0.71152,             0.53013,            0.024642,            0.010113,           0.0050937,            0.004258,            0.004258,            0.004258
                 118,            0.019886,           0.0069451,          0.00069394,             0.86341,             0.65753,             0.70948,             0.52897,            0.024575,            0.010013,            0.005186,           0.0042085,           0.0042085,           0.0042085
                 119,            0.020352,           0.0068251,          0.00067061,             0.89351,             0.64438,             0.70993,             0.52709,            0.024579,           0.0099858,           0.0053698,            0.004159,            0.004159,            0.004159
                 120,            0.020242,           0.0069623,          0.00072734,             0.92157,             0.63992,             0.71423,              0.5288,            0.024622,           0.0099828,            0.005367,           0.0041095,           0.0041095,           0.0041095
                 121,            0.019866,           0.0068395,          0.00057495,              0.9135,             0.64264,             0.71376,              0.5257,            0.024679,            0.010116,           0.0056931,             0.00406,             0.00406,             0.00406
                 122,             0.02028,           0.0072134,          0.00061618,             0.92138,             0.64684,             0.71371,             0.52471,            0.024772,            0.010134,           0.0055508,           0.0040105,           0.0040105,           0.0040105
                 123,            0.020734,           0.0070169,          0.00073897,             0.90201,             0.64772,             0.71145,             0.52743,            0.024685,            0.010182,           0.0054828,            0.003961,            0.003961,            0.003961
                 124,            0.020454,           0.0069661,          0.00063135,             0.91345,              0.6445,             0.71181,             0.52492,            0.024565,            0.010253,             0.00553,           0.0039115,           0.0039115,           0.0039115
                 125,            0.020337,           0.0069923,          0.00067517,             0.91237,             0.64316,             0.70896,             0.52546,            0.024534,            0.010425,           0.0055376,            0.003862,            0.003862,            0.003862
                 126,             0.01968,            0.006997,          0.00068729,              0.9141,             0.64234,             0.70899,             0.52497,            0.024582,            0.010423,            0.005597,           0.0038125,           0.0038125,           0.0038125
                 127,            0.019754,           0.0068085,          0.00062895,             0.90333,             0.64584,             0.70561,               0.522,            0.024546,             0.01036,           0.0054784,            0.003763,            0.003763,            0.003763
                 128,            0.019644,           0.0068179,          0.00068577,             0.89995,             0.64706,             0.69927,             0.52015,            0.024587,            0.010413,           0.0055395,           0.0037135,           0.0037135,           0.0037135
                 129,            0.019921,           0.0067398,          0.00060086,             0.88747,             0.64446,             0.69784,             0.51955,            0.024566,            0.010482,           0.0056369,            0.003664,            0.003664,            0.003664
                 130,            0.019889,           0.0067545,           0.0006231,             0.88122,              0.6402,             0.69552,             0.52114,            0.024525,            0.010483,           0.0058453,           0.0036145,           0.0036145,           0.0036145
